,Title,Directed by,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release date,Running time,Language,Budget,Box office,Country,Written by
0,American Psycho,Mary Harron,"['Edward R. Pressman', 'Chris Hanley', 'Christian Halsey Solomon']","['Christian Bale', 'Willem Dafoe', 'Jared Leto', 'Josh Lucas', 'Samantha Mathis', 'Matt Ross', 'Bill Sage', 'Chloë Sevigny', 'Cara Seymour', 'Justin Theroux', 'Guinevere Turner', 'Reese Witherspoon']",Andrzej Sekuła,Andrew Marcus,John Cale,"['Edward R. Pressman Productions', 'Muse Productions']","['Lions Gate Films', '(United States)', 'Columbia TriStar Film Distributors International', '(International)']",2000-01-21,102.0,English,7000000.0,34300000.0,,
1,The Big Kahuna,John Swanbeck,"['Elie Samaha', 'Kevin Spacey', 'Andrew Stevens']","['Kevin Spacey', 'Danny DeVito', 'Peter Facinelli']",Anastas N. Michos,Peggy Davis,Christopher Young,"['Franchise Pictures', 'Trigger Street Productions']",Lions Gate Films,1999-09-16,90.0,English,7000000.0,3728888.0,United States,
2,Women,Peter Greenaway,Kees Kasander,"['John Standing', 'Matthew Delamere', 'Vivian Wu', 'Shizuka Inoh', 'Barbara Sarafian', 'Kirina Mano', 'Manna Fujiwara', 'Toni Collette', 'Amanda Plummer', 'Natacha Amal', 'Polly Walker']","['Reinier van Brummelen', 'Sacha Vierny']",Elmer Leupen,"['Frank Loesser', 'Giuseppe Verdi']",,Lions Gate Films,1999-05-22,118.0,,,424123.0,,Peter Greenaway
3,Jesus' Son,Alison Maclean,"['Elizabeth Cuthrell', 'Lydia Dean Pilcher', 'David Urrutia']","['Billy Crudup', 'Samantha Morton', 'Denis Leary', 'Holly Hunter', 'Dennis Hopper']",Adam Kimmel,"['Stuart Levy', 'Geraldine Peroni']",Joe Henry,"['Evenstar Films', 'Alliance Atlantis']",Lions Gate Films,1999-09-05,107.0,English,2500000.0,1302067.0,,"['Elizabeth Cuthrell', 'David Urrutia', 'Oren Moverman']"
4,But I'm a Cheerleader,Jamie Babbit,"['Leanna Creel', 'Andrea Sperling']","['Natasha Lyonne', 'Clea DuVall', 'Cathy Moriarty', 'RuPaul Charles', 'Mink Stole', 'Bud Cort', 'Eddie Cibrian']",Jules Labarthe,Cecily Rhett,Pat Irwin,"['Ignite Entertainment', 'The Kushner-Locke Company']",Lions Gate Films,1999-09-12,88.0,English,1000000.0,2600000.0,United States,
5,The Eyes of Tammy Faye,"['Fenton Bailey', 'Randy Barbato']","['Fenton Bailey', 'Randy Barbato']",Tammy Faye Bakker,Sandra Chandler,Paul Wiesepape,Jimmy Harry,,Lions Gate Films,2000-01-25,78.0,English,,1000000.0,United States,
6,Love & Sex,Valerie Breiman,"['Martin J. Barab', 'Timothy Scott Bogart', 'Darris Hatch', 'Brad Wyman']","['Famke Janssen', 'Jon Favreau', 'Noah Emmerich', 'Ann Magnuson', 'Cheri Oteri', 'Josh Hopkins']",Adam Kane,Martin Apelbaum,"['Pierpaolo Tiano', 'Billy White Acre']",,Lions Gate Films,2000-01-24,82.0,English,,543896.0,United States,Valerie Breiman
7,The Tic Code,Gary Winick,"['Polly Draper', 'Michael Wolff', 'Karen Tangorra', 'Midge Sanford', 'Sarah Pillsbury', 'Larry Meistrich']","['Gregory Hines', 'Polly Draper', 'Christopher George Marquette', 'Bill Nunn']",Wolfgang Held,"['Bill Pankow', 'Kate Sanford', 'Henk Van Eeghen']",Michael Wolff,"['Sanford/Pillsbury Productions', 'Jazz Films', 'Gun For Hire Films']",Lions Gate Entertainment,,91.0,English,2000000.0,205000.0,United States,Polly Draper
8,Urbania,Jon Shear,"['Stephanie Golden', 'J. Todd Harris', 'Jon Shear']","['Dan Futterman', 'Paige Turco', 'Samuel Ball', 'Josh Hamilton', 'Matt Keeslar', 'Alan Cumming']","['Shane F. Kelly', 'Peter Konczal']","['Randy Bricker', 'Ed Marx']",Marc Anthony Thompson,,Lions Gate Films,2000-01-24,103.0,English,225000.0,1032075.0,United States,"['Daniel Reitz', '(play and screenplay)', 'Jon Shear', '(screenplay)']"
9,Taxi 2,Gérard Krawczyk,"['Luc Besson', 'Michele Petin', 'Laurent Petin']","['Samy Naceri', 'Frédéric Diefenthal', 'Marion Cotillard', 'Emma Sjoberg', 'Bernard Farcy']",Thierry Guilmaro,,"Olivier""Akos""Castelli, Al Khemya, IAM",,EuropaCorp,2000-03-29,88.0,,10500000.0,64400000.00000001,France,Luc Besson
10,Two Family House,Raymond De Felitta,"['Anne Harrison', 'Alan Klingenstein']","['Michael Rispoli', 'Kelly Macdonald', 'Kathrine Narducci', 'Kevin Conway', 'Matt Servitto', 'Vincent Pastore']",Michael Mayers,David Leonard,"['Stephen Endelman', 'John Pizzarelli']",,Lions Gate Films,2000-10-06,104.0,English,,1020695.0,United States,Raymond De Felitta
11,Stardom,Denys Arcand,,"['Jessica Paré', 'Dan Aykroyd']",,Isabelle Dedieu,François Dompierre,"['Alliance Atlantis', 'Serendipity Point Films', 'Cinémaginaire Inc.', 'Ciné B']","['Alliance Atlantis Communications (Canada)', 'Pathé Distribution (France)']",2000-05-17,100.0,English / French,6700000.0,150.0,,"['J.Jacob Potashnik', 'Denys Arcand']"
12,Faust: Love of the Damned,Brian Yuzna,"['Ted Chalmers', 'Carlos Fernández', 'Julio Fernández', 'Antonio González', 'Bea Morillas', 'Miguel Torrente', 'Brian Yuzna']","['Mark Frost', 'Isabel Brook', 'Jennifer Rope', 'Jeffrey Combs', 'Andrew Divoff']",Jacques Haitkin,Luis de la Madrid,Xavier Capellas,,,2000-10-12,96.0,English,,,Spain,
13,What's Cooking?,Gurinder Chadha,"['Jeffrey Taylor', 'Ethan Hurt']","['Joan Chen', 'Julianna Margulies', 'Mercedes Ruehl', 'Kyra Sedgwick', 'Alfre Woodard', 'Maury Chaykin', 'Estelle Harris', 'Dennis Haysbert', 'Lainie Kazan', 'Victor Rivers', 'Douglas Spain']",Jong Lin,Janice Hampton,Craig Pruess,,"['Redbus Film Distribution', '(United Kingdom)', 'Trimark Pictures', '/', 'Lions Gate Films', '(United States)']",2000-01-20,109.0,English,,1649655.0,,"['Gurinder Chadha', 'Paul Mayeda Berges']"
14,Shadow of the Vampire,E. Elias Merhige,"['Nicolas Cage', 'Jeff Levine']","['John Malkovich', 'Willem Dafoe', 'Cary Elwes', 'John Aden Gillet', 'Eddie Izzard', 'Udo Kier', 'Catherine McCormack', 'Ronan Vibert']",Lou Bogue,Chris Wyatt,Dan Jones,"['BBC Films', 'Madman Films', 'Saturn Films']","['Metrodome Distribution (United Kingdom)', 'Lions Gate Films', '(United States)']",2000-12-29,92.0,,8000000.0,11200000.0,,Steven Katz
15,"February 15, 1839",Pierre Falardeau,"['René Chénier', 'Marc Daigle', 'Bernadette Payeur']","['Luc Picard', 'Sylvie Drapeau', 'Frédéric Gilles', 'Julien Poulin', 'Denis Trudel']",Alain Dostie,Claude Palardy,Jean St-Jacques,"['Téléfilm Canada', 'Cinépix Film', 'ACPAV']",Christal Films,2001-01-16,120.0,French,,248093.0,Canada,Pierre Falardeau
16,The Widow of Saint-Pierre,Patrice Leconte,"['Frédéric Brillion', 'Gilles Legrand', 'Daniel Louis', 'Denise Robert']","['Juliette Binoche', 'Daniel Auteuil', 'Emir Kusturica']",Eduardo Serra,Joëlle Hache,Pascal Estève,,"['Alliance Films', '(Canada)', 'PolyGram Film Distribution', '(France)']",2000-04-19,120.0,French,13000000.0,7074234.0,,"['Claude Faraldo', 'Patrice Leconte']"
17,Amores perros,Alejandro González Iñárritu,Alejandro González Iñárritu,"['Emilio Echevarría', 'Gael García Bernal', 'Goya Toledo', 'Álvaro Guerrero', 'Vanessa Bauche', 'Jorge Salinas', 'Adriana Barraza']",Rodrigo Prieto,"['Alejandro González Iñárritu', 'Luis Carballar', 'Fernando Pérez Unda']",Gustavo Santaolalla,"['Zeta Entertainment', 'Alta Vista Films']",Nu Vision,2000-05-14,153.0,Spanish,2400000.0,20900000.0,Mexico,
18,The Golden Bowl,James Ivory,Ismail Merchant,"['Kate Beckinsale', 'James Fox', 'Anjelica Huston', 'Nick Nolte', 'Jeremy Northam', 'Madeleine Potter', 'Uma Thurman']",Tony Pierce-Roberts,John David Allen,Richard Robbins,"['Merchant Ivory Productions', 'TF1 International']","['Lions Gate Films', '(United States)', 'Buena Vista International', '(United Kingdom)']",2000-09-13,130.0,English,15000000.0,5700000.0,,
19,Bread and Roses,Ken Loach,Rebecca O'Brien,"['Pilar Padilla', 'Adrien Brody', 'Elpidia Carrillo']",Barry Ackroyd,Jonathan Morris,George Fenton,,"['FilmFour Distributors', '(United Kingdom)', 'Alta Films (Spain)']",2000-05-10,110.0,,,533479.0,,Paul Laverty
20,Songcatcher,Maggie Greenwald,Richard Miller,"['Janet McTeer', 'Aidan Quinn', 'Michael Davis', 'Michael Goodwin', 'Jane Adams', 'E. Katherine Kerr', 'Emmy Rossum', 'Pat Carroll']",Enrique Chediak,Keith Reamer,David Mansfield,,Lions Gate Films,2000-01-25,109.0,English,1800000.0,3050934.0,United States,Maggie Greenwald
21,Lost and Delirious,Léa Pool,"['Greg Dummett', 'Lorraine Richard', 'Louis-Philippe Rochon']","['Piper Perabo', 'Jessica Paré', 'Mischa Barton']",Pierre Gill,Gaétan Huot,Yves Chamberland,"['Greg Dummett Films', 'Cite-Amerique']","['Seville Pictures', '(Canada)', 'Lions Gate Entertainment', '(USA)']",2001-01-21,103.0,English,,307233.0,Canada,
22,Bully,Larry Clark,"['Don Murphy', 'Chris Hanley', 'Fernando Sulichin']","['Brad Renfro', 'Bijou Phillips', 'Rachel Miner', 'Michael Pitt', 'Kelli Garner', 'Leo Fitzpatrick', 'Nick Stahl']",Steve Gainer,Andrew Hafitz,"['Joe Poledouris', 'Jerome Dillon']","['Blacklist Films', 'Gravity Entertainment', 'Muse Productions', 'StudioCanal']",Lions Gate Films,2001-06-15,114.0,English,2100000.0,1400000.0,,
23,All Over the Guy,Julie Davis,"['Susan Dietz', 'Juan Mas', 'Dan Bucatinsky', 'Donnie Land', 'Juan A. Mas']","['Sasha Alexander', 'Dan Bucatinsky', 'Adam Goldberg', 'Joanna Kerns', 'Lisa Kudrow', 'Andrea Martin', 'Christina Ricci', 'Doris Roberts', 'Richard Ruccolo']",Goran Pavicevic,"['Glenn Garland', 'Mary Morrisey']","['Peter Stuart', 'Andrew Williams']",,Lionsgate Films,2001-08-10,95.0,English,,1051948.0,United States,Dan Bucatinsky
24,O,Tim Blake Nelson,"['Daniel Fried', 'Eric Gitter']","['Mekhi Phifer', 'Josh Hartnett', 'Julia Stiles', 'Elden Henson', 'Andrew Keegan', 'Rain Phoenix', 'Anthony A.J. Johnson', 'John Heard', 'Martin Sheen']",Russell Lee Fine,Kate Sanford,Jeff Danna,"['Daniel Fried Productions', 'Chickie the Cop', 'Dimension Films']",Lions Gate Films,2001-08-31,94.0,English,5000000.0,19210835.0,United States,
25,Liam,Stephen Frears,"['Colin McKeown', 'Martin Tempia']","['Ian Hart', 'Claire Hackett', 'Anne Reid', 'Anthony Borrows', 'Megan Burns']",Andrew Dunn,Kristina Hetherington,John Murphy,"['BBC Films', 'Arte']",Lionsgate,2000-09-04,91.0,,,1900000.0,,Jimmy McGovern
26,Tape,Richard Linklater,"['Gary Winick', 'Anne Walker-McBay', 'Alexis Alexanian']","['Ethan Hawke', 'Robert Sean Leonard', 'Uma Thurman']",Maryse Alberti,Sandra Adair,Howard Shore,,Lionsgate,2001-01-26,86.0,English,100000.0,515900.0,United States,
27,The Wash,DJ Pooh,"['Phillip G. Atwell', 'Rick Freeman', 'DJ Pooh', 'Kip Konwiser (executive producer)']","['Dr. Dre', 'Snoop Dogg', 'DJ Pooh', 'George Wallace', 'Bruce Bruce', 'Angell Conwell', 'Eminem', 'Xzibit', 'Ludacris', 'Shaquille O’Neal', 'Pauly Shore', 'Kurupt', 'Tray Deee']",Keith L. Smith,Jack Hofstra,['Camara Kambon'],"['Lionsgate', 'Lithium Entertainment Group']",Lionsgate,2001-11-16,93.0,English,7000000.0,10200000.0,United States,DJ Pooh
28,Les Boys,Louis Saïa,"['Richard Goudreau', 'Jeffrey Tinnell']","['Marc Messier', 'Rémy Girard', 'Patrick Huard']",Sylvain Brault,Yvann Thibaudeau,Normand Corbeil,,CFP International,,107.0,French,,10602341.0,Canada,"['Christian Fournier', 'Louis Saïa']"
29,Lantana,Ray Lawrence,Jan Chapman,"['Anthony LaPaglia', 'Geoffrey Rush', 'Barbara Hershey', 'Kerry Armstrong', 'Rachael Blake', 'Vince Colosimo', 'Russell Dykstra', 'Daniela Farinacci', 'Peter Phelps', 'Leah Purcell', 'Glenn Robbins']",Mandy Walker,Karl Sodersten,Paul Kelly,"['Australian Film Finance Corporation', 'MBP', 'New South Wales Film and Television Office', 'Jan Chapman Films']",Palace Films,2001-07-08,121.0,English,,15700000.0,Australia,
30,Monster's Ball,Marc Forster,Lee Daniels,"['Billy Bob Thornton', 'Heath Ledger', 'Halle Berry', 'Sean Combs', 'Mos Def', 'Will Rokos', 'Milo Addica', 'Peter Boyle']",Roberto Schaefer,Matt Chesse,Asche and Spencer,,Lionsgate Films,2001-11-11,111.0,English,4000000.0,45000000.0,United States,"['Milo Addica', 'Will Rokos']"
31,State Property,Abdul Malik Abbott,"['Damon Dash', 'Phyllis Cedar']","['Beanie Sigel', 'Jay-Z', 'Damon Dash', 'Memphis Bleek', 'Omillio Sparks']",David Daniel,"['Paul Frank', 'Tim French', 'Justine Harari']","['Abdul Malik Abbott', 'Evan Eder', 'Gregory Darryl Smith']",,Lionsgate Films,2002-01-18,88.0,English,600000.0,2106838.0,,"['Abdul Malik Abbott', 'Ernest ""Tron"" Anderson']"
32,The Cat's Meow,Peter Bogdanovich,"['Julie Baines', 'Kim Bieber', 'Carol Lewis', 'Dieter Meyer']","['Kirsten Dunst', 'Edward Herrmann', 'Eddie Izzard', 'Cary Elwes', 'Joanna Lumley', 'Jennifer Tilly']",Bruno Delbonnel,Edward G. Norris,Ian Whitcomb,"['Dan Films', 'CP Medien']","['Swipe Films (UK)', 'Lionsgate']",2001-08-03,114.0,English,7000000.0,3700000.0,,
33,Frailty,Bill Paxton,David Kirschner,"['Bill Paxton', 'Matthew McConaughey', 'Powers Boothe', 'Luke Askew', 'Jeremy Sumpter', ""Matt O'Leary""]",Bill Butler,Arnold Glassman,Brian Tyler,"['David Kirschner Productions', 'American Entertainment Co.', 'Cinerenta Medienbeteiligungs KG', 'Cinedelta']",Lions Gate Films,2001-11-07,99.0,English,11000000.0,17400000.0,,Brent Hanley
34,Chelsea Walls,Ethan Hawke,"['Alexis Alexanian', 'Pamela Koffler', 'Christine Vachon', 'Gary Winick']","['Kris Kristofferson', 'Uma Thurman', 'Robert Sean Leonard', 'Tuesday Weld', 'Kevin Corrigan', 'Bianca Hunter', ""Vincent D'Onofrio"", 'Natasha Richardson', 'Rosario Dawson']",Tom Richmond,Adriana Pacheco,Jeff Tweedy,"['Killer Films', 'IFC Films']",Lionsgate,2001-09-21,109.0,English,100000.0,60902.0,United States,Nicole Burdette
35,American Psycho 2,Morgan J. Freeman,Ernie Barbarash,"['Mila Kunis', 'William Shatner']",Vanja Cernjul,Mark Sanders,Norman Orenstein,,Lionsgate Home Entertainment,2002-06-18,88.0,English,10000000.0,,United States,
36,Lovely and Amazing,Nicole Holofcener,"['Anthony Bregman', 'Ted Hope', ""Eric d'Arbeloff""]","['Brenda Blethyn', 'Catherine Keener', 'Emily Mortimer', 'Raven Goodwin', 'Jake Gyllenhaal', 'James LeGros', 'Dermot Mulroney']",Harlan Bosmajian,Robert Frazen,Craig Richey,"['Good Machine', 'Blow Up Pictures']","['Lions Gate Films', 'Roadside Attractions']",2001-08-31,91.0,English,250000.0,4695781.0,United States,Nicole Holofcener
37,Cube 2: Hypercube,Andrzej Sekuła,"['Ernie Barbarash', 'Peter Block', 'Suzanne Colvin']","['Kari Matchett', 'Geraint Wyn Davies', 'Grace Lynn Kung', 'Matthew Ferguson', 'Neil Crone']",Andrzej Sekuła,Mark Sanders,Norman Orenstein,,Lions Gate Films,2002-07-29,94.0,English,,3500000.0,Canada,
38,Secretary,Steven Shainberg,"['Andrew Fierberg', 'Amy Hobby', 'Steven Shainberg']","['James Spader', 'Maggie Gyllenhaal']",Steven Fierberg,Pam Wise,Angelo Badalamenti,"Secretary, Inc.",Lions Gate Films,2002-01-11,107.0,English,4000000.0,9300000.0,United States,
39,The Rules of Attraction,Roger Avary,Greg Shapiro,"['James Van Der Beek', 'Shannyn Sossamon', 'Kip Pardue', 'Jessica Biel', 'Kate Bosworth', 'Ian Somerhalder', 'Clifton Collins, Jr.', 'Thomas Ian Nicholas', 'Swoosie Kurtz', 'Faye Dunaway']",Robert Brinkmann,Sharon Rutter,Tomandandy,"['Kingsgate Films', 'Roger Avary Filmproduktion']","['Lions Gate Films (United States)', 'Concorde Filmverleih (Germany)']",2002-10-11,110.0,,4000000.0,11800000.0,,
40,The Grey Zone,Tim Blake Nelson,"['Avi Lerner', 'Danny Lerner', 'Pamela Koffler', 'Christine Vachon', 'Tim Blake Nelson\t.']","['David Arquette', 'Steve Buscemi', 'Harvey Keitel', 'Mira Sorvino', 'Allan Corduner', 'Daniel Benzali', 'Natasha Lyonne']",Russell Lee Fine,"['Michelle Botticelli', 'Tim Blake Nelson']",Jeff Danna,"['Millennium Films', 'The Goatsingers', 'Killer Films']","['Lionsgate', 'Roadside Attractions']",2001-09-13,108.0,English,,517872.0,United States,Tim Blake Nelson
41,The Weight of Water,Kathryn Bigelow,"['A. Kitman Ho', 'Sigurjón Sighvatsson', 'Janet Yang']","['Elizabeth Hurley', 'Catherine McCormack', 'Sean Penn', 'Sarah Polley']",Adrian Biddle,,David Hirschfelder,,Lions Gate Films,2000-09-09,113.0,English,16000000.0,321279.0,,
42,Narc,Joe Carnahan,"['Diane Nabatoff', 'Ray Liotta', 'Michelle Grace', 'Julius R. Nasso']","['Jason Patric', 'Ray Liotta', 'Busta Rhymes', 'Chi McBride']",Alex Nepomniaschy,John Gilroy,Cliff Martinez,"['Lionsgate Films', 'Cruise/Wagner Productions', 'Splendid Pictures', 'Emmett/Furla Films', 'Tiara Blu Films']",Paramount Pictures,2002-12-17,105.0,English,6500000.0,12600000.0,United States,Joe Carnahan
43,Max,Menno Meyjes,Andras Hamori,"['John Cusack', 'Noah Taylor', 'Leelee Sobieski', 'Molly Parker']",Lajos Koltai,Chris Wyatt,Dan Jones,"['Pathé Pictures', 'Alliance Atlantis', 'UK Film Council', 'Kinowelt Medien', 'Aconit Pictures', 'H2O Motion Pictures']","['Pathé Distribution', '(United Kingdom)', 'Alliance Atlantis Distribution', '(Canada)']",2002-09-20,106.0,English,,539879.0,,Menno Meyjes
44,Irréversible,Gaspar Noé,"['Brahim Chioua', 'Vincent Cassel']","['Monica Bellucci', 'Vincent Cassel', 'Albert Dupontel']","['Benoît Debie (lighting)', 'Gaspar Noé (camera)']",Gaspar Noé,Thomas Bangalter,"['Les Cinémas de la Zone', 'StudioCanal']",Mars Distribution,2002-05-22,97.0,,,,France,Gaspar Noé
45,House of 1000 Corpses,Rob Zombie,Andy Gould,"['Sid Haig', 'Bill Moseley', 'Sheri Moon', 'Karen Black']","['Alex Poppas', 'Tom Richmond']","['Kathryn Himoff', 'Robert K. Lambert', 'Sean K. Lambert']","['Rob Zombie', 'Scott Humphrey']",,Lions Gate Films,2003-04-11,89.0,English,7000000.0,16800000.0,United States,Rob Zombie
46,Confidence,James Foley,"['Scott Bernstein', 'Michael Burns', 'Marc Butan']","['Edward Burns', 'Rachel Weisz', 'Andy García', 'Paul Giamatti', 'Donal Logue', 'Luis Guzmán', 'Brian Van Holt', 'Franky G', 'Robert Forster', 'Morris Chestnut', 'Dustin Hoffman']",Juan Ruiz Anchía,Stuart Levy,"['Christophe Beck', 'Dave Crawford']",,Lions Gate Entertainment,2003-04-25,97.0,English,15000000.0,23000000.0,,Doug Jung
47,Civil Brand,Neema Barnette,Neema Barnette,"['LisaRaye McCoy', 'Lark Voorhies', 'Monica Calhoun', ""N'Bushe Wright"", 'Tichina Arnold', 'Mos Def', 'Da Brat', 'MC Lyte']",Yuri Neyman,"['Zene Baker', 'David Beatty']",Mandrill,,Lionsgate,2002-05-26,95.0,English,500000.0,254293.0,United States,"['Preston A. Whitmore II', 'Joyce Renee Lewis']"
48,Cabin Fever,Eli Roth,"['Lauren Moews', 'Sam Froelich', 'Evan Astrowsky', 'Eli Roth']","['Rider Strong', 'Jordan Ladd', 'James DeBello', 'Cerina Vincent', 'Joey Kern', 'Arie Verveen', 'Giuseppe Andrews']",Scott Kevan,Ryan Folsey,Nathan Barr,"['Deer Path Films', 'Down Home Entertainment', 'Tonic Films']","['Lions Gate Films', 'Black Sky Entertainment']",2002-09-14,94.0,English,1500000.0,30600000.0,United States,"['Eli Roth', 'Randy Pearlstein']"
49,Wonderland,James Cox,"['Michael Paseornek', 'Holly Wiersma']","['Val Kilmer', 'Kate Bosworth', 'Lisa Kudrow', 'Josh Lucas', 'Dylan McDermott', 'Carrie Fisher']",Michael Grady,Jeff McEvoy,Cliff Martinez,"['Flirt Pictures', 'Emmett/Furla Films']",Lionsgate,2003-09-08,104.0,English,5500000.0,2466444.0,United States,"['James Cox', 'Captain Mauzner', 'Todd Samovitz', 'D. Loriston Scott']"
50,Shattered Glass,Billy Ray,"['Craig Baumgarten', 'Adam Merims', 'Gaye Hirsch', 'Tove Christensen']","['Hayden Christensen', 'Peter Sarsgaard', 'Chloë Sevigny', 'Rosario Dawson', 'Melanie Lynskey', 'Hank Azaria', 'Steve Zahn']",Mandy Walker,Jeffrey Ford,Mychael Danna,"['Cruise/Wagner Productions', 'Baumgarten Merims Productions', 'Forest Park Pictures']",Lions Gate Films,2003-10-31,94.0,English,6000000.0,2900000.0,,
51,The Cooler,Wayne Kramer,"['Sean Furst', 'Michael A. Pierce']","['William H. Macy', 'Maria Bello', 'Shawn Hatosy', 'Ron Livingston', 'Estella Warren', 'Paul Sorvino', 'Alec Baldwin']",James Whitaker,Arthur Coburn,Mark Isham,"['ContentFilm', 'Pierce/Williams Entertainment', 'Furst Films', 'Gryphon Films', 'Dog Pond Productions', 'Visionbox Pictures', 'Zero Gravity Management']",Lions Gate Films,2003-01-17,101.0,English,4000000.0,10000000.0,United States,"['Frank Hannah', 'Wayne Kramer']"
52,Girl with a Pearl Earring,Peter Webber,"['Andy Paterson', 'Anand Tucker']","['Colin Firth', 'Scarlett Johansson', 'Tom Wilkinson', 'Judy Parfitt', 'Cillian Murphy', 'Essie Davis', 'Joanna Scanlan', 'Alakina Mann']",Eduardo Serra,Kate Evans,Alexandre Desplat,"['UK Film Council', 'Archer Street Productions', 'DeLux Productions', 'Inside Track', 'Film Fund Luxembourg', 'Wild Bear Films']","['Pathé Distribution (United Kingdom)', 'Lions Gate Films (United States)']",2003-08-31,100.0,English,13200000.0,31400000.0,,
53,Monster Man,Michael Davis,Larry Rattner,"['Eric Jungmann', 'Justin Urich', 'Aimee Brooks', 'Michael Bailey Smith']",Matthew Irving,Kevin D. Ross,John Coda,,Lions Gate Films,2003-07-30,88.0,English,,,United States,Michael Davis
54,Dirty Dancing: Havana Nights,Guy Ferland,"['Lawrence Bender', 'Sarah Green']","['Diego Luna', 'Romola Garai', 'Sela Ward', 'John Slattery', 'Jonathan Jackson', 'January Jones', 'Mika Boorem']",Anthony B. Richmond,"['Luis Colina', 'Scott Richter']",Heitor Pereira,"['Artisan Entertainment', 'A Band Apart', 'Havana Nights LLC', 'Lawrence Bender Productions', 'Miramax Films']","['Lions Gate Films (United States, Asia and France)', 'Miramax International (International; through Buena Vista International )']",2004-02-27,86.0,,25000000.0,27700000.0,United States,
55,The Snow Walker,Charles Martin Smith,"['William Vince', 'Robert Merilees']","['Barry Pepper', 'Annabella Piugattuk', 'James Cromwell', 'Kiersten Warren', 'Robin Dunne', 'Jon Gries']","['David Connell', 'Paul Sarossy', 'Jon Joffin']",Alison Grace,"['Mychael Danna', 'Paul Intson']",,"['Infinity Media', 'Lions Gate Films']",2003-09-11,103.0,English,,201149.0,Canada,Charles Martin Smith
56,Dogville,Lars von Trier,Vibeke Windeløv,"['Nicole Kidman', 'Lauren Bacall', 'Paul Bettany', 'Chloë Sevigny', 'Stellan Skarsgård', 'Udo Kier', 'Ben Gazzara', 'Patricia Clarkson', 'Philip Baker Hall', 'James Caan', 'Jeremy Davies']",Anthony Dod Mantle,Molly Marlene Stensgård,,"['Filmek AB', 'Zoma Films UK', 'Canal+', 'France 3 Cinéma']","['Nordisk Film', '(Scandinavia; under Nordisk-', 'Constantin', '-', 'Fox', 'in Denmark)', 'Icon Film Distribution', '(United Kingdom)', 'Columbia TriStar Film Distributors International', '(Sweden)', 'Les films du losange', '(France)', 'Concorde Filmverleih', '(Germany)', 'A-Film', '(Netherlands)', 'Trust Film Sales ApS (International)']",2003-05-19,178.0,English,10000000.0,16700000.0,,Lars von Trier
57,The Prince & Me,Martha Coolidge,Mark Amin,"['Julia Stiles', 'Luke Mably', 'Ben Miller', 'James Fox', 'Miranda Richardson']",Alex Nepomniaschy,Steven Cohen,Jennie Muskett,"['Lions Gate Films', 'Sobini Films']","['Paramount Pictures', '(United States)', 'Lions Gate Films (International)']",2004-04-02,106.0,English,22000000.0,37600000.0,United States,
58,The Punisher,Jonathan Hensleigh,"['Avi Arad', 'Gale Anne Hurd']","['Thomas Jane', 'John Travolta', 'Will Patton', 'Roy Scheider', 'Laura Harring', 'Ben Foster', 'Rebecca Romijn-Stamos']",Conrad W. Hall,"['Steven Kemper', 'Jeff Gullo']",Carlo Siliotto,"['Lions Gate Films', 'Marvel Entertainment']","['Lions Gate Films (North America)', 'Summit Entertainment', 'Columbia TriStar Film Distributors International (International)']",2004-04-16,123.0,English,33000000.0,54700000.0,United States,"['Jonathan Hensleigh', 'Michael France']"
59,Godsend,Nick Hamm,"['Marc Butan', ""Sean O'Keefe"", 'Cathy Schulman', 'Mark Canton']","['Greg Kinnear', 'Rebecca Romijn-Stamos', 'Robert De Niro', 'Cameron Bright']",Kramer Morgenthau,"['Niven Howie', 'Steve Mirkovich']",Brian Tyler,"['2929 Entertainment', 'Atmosphere Pictures']",Lions Gate Films,2004-04-30,102.0,English,25000000.0,30000000.0,,Mark Bomback
60,A Slipping-Down Life,Toni Kalem,Richard Raddon,"['Lili Taylor', 'Guy Pearce']",Michael F. Barrow,Hughes Winborne,Peter Himmelman,,Lions Gate Entertainment,1999-01-22,111.0,English,,107099.0,United States,"['Toni Kalem', 'Anne Tyler', '(novel)']"
61,The Day After Tomorrow,Roland Emmerich,"['Mark Gordon', 'Roland Emmerich']","['Dennis Quaid', 'Jake Gyllenhaal', 'Ian Holm', 'Emmy Rossum', 'Sela Ward']",Ueli Steiger,David Brenner,Harald Kloser,"['Centropolis Entertainment', 'Lions Gate Films', 'The Mark Gordon Company']",20th Century Fox,2004-05-17,123.0,English,125000000.0,552600000.0,United States,
62,Fahrenheit 9/11,Michael Moore,"['Michael Moore', 'Jim Czarnecki', 'Kathleen Glynn', 'Monica Hampton', 'Harvey Weinstein', 'Bob Weinstein']","['Michael Moore', 'George W. Bush', 'Donald Rumsfeld']",,,,"['Dog Eat Dog Films', 'Fellowship Adventure Group']","['FLIC Distributors', '(Fellowship Adventure Group', 'Lionsgate Films', 'IFC Films )']",2004-05-17,122.0,English,6000000.0,222400000.0,United States,Michael Moore
63,Open Water,Chris Kentis,"['Laura Lau', 'Estelle Lau']","['Blanchard Ryan', 'Daniel Travis', 'Saul Stein']","['Chris Kentis', 'Laura Lau']",Chris Kentis,Graeme Revell,"['Lions Gate Films', 'Plunge Pictures LLC', 'Eastgate Pictures']",Lions Gate Films,2003-10-26,79.0,English,120000.0,55500000.0,United States,Chris Kentis
